match_id,winner,raspberry_rounds,blueberry_rounds,rounds_played,raspberry_final_upgrades,blueberry_final_upgrades
189,blueberry,0,2,2,1,1
190,blueberry,0,2,2,1,1
191,blueberry,0,2,2,1,1
192,blueberry,0,2,2,1,1
193,blueberry,0,2,2,1,1
194,blueberry,0,2,2,1,1
195,blueberry,0,2,2,1,1
196,blueberry,0,2,2,1,1
197,blueberry,0,2,2,1,1
198,blueberry,0,2,2,1,1
199,blueberry,0,2,2,1,1
200,blueberry,0,2,2,1,1
201,blueberry,0,2,2,1,1
202,blueberry,0,2,2,1,1
203,blueberry,0,2,2,1,1
204,blueberry,0,2,2,1,1
205,blueberry,0,2,2,1,1
206,blueberry,0,2,2,1,1
207,blueberry,0,2,2,1,1
208,blueberry,0,2,2,1,1
209,blueberry,0,2,2,1,1
210,blueberry,0,2,2,1,1
211,blueberry,0,2,2,1,1
212,blueberry,0,2,2,1,1
213,blueberry,0,2,2,1,1
214,blueberry,0,2,2,1,1
215,blueberry,0,2,2,1,1
216,blueberry,0,2,2,1,1
217,blueberry,0,2,2,1,1
218,blueberry,0,2,2,1,1
219,blueberry,0,2,2,1,1
220,blueberry,0,2,2,1,1
221,blueberry,0,2,2,1,1
222,blueberry,0,2,2,1,1
223,blueberry,0,2,2,1,1
224,blueberry,0,2,2,1,1
225,blueberry,0,2,2,1,1
226,blueberry,0,2,2,1,1
227,blueberry,0,2,2,1,1
228,blueberry,0,2,2,1,1
229,blueberry,0,2,2,1,1
230,blueberry,0,2,2,1,1
231,blueberry,0,2,2,1,1
232,blueberry,0,2,2,1,1
233,blueberry,0,2,2,1,1
234,blueberry,0,2,2,1,1
235,blueberry,0,2,2,1,1
236,blueberry,0,2,2,1,1
237,blueberry,0,2,2,1,1
238,blueberry,0,2,2,1,1
239,blueberry,0,2,2,1,1
240,blueberry,0,2,2,1,1
241,blueberry,0,2,2,1,1
242,blueberry,0,2,2,1,1
243,blueberry,0,2,2,1,1
244,blueberry,0,2,2,1,1
245,blueberry,0,2,2,1,1
246,blueberry,0,2,2,1,1
247,blueberry,0,2,2,1,1
248,blueberry,0,2,2,1,1
249,blueberry,0,2,2,1,1
250,blueberry,0,2,2,1,1
251,blueberry,0,2,2,1,1
252,blueberry,0,2,2,1,1
253,blueberry,0,2,2,1,1
254,blueberry,0,2,2,1,1
255,blueberry,0,2,2,1,1
256,blueberry,0,2,2,1,1
257,blueberry,0,2,2,1,1
258,blueberry,0,2,2,1,1
259,blueberry,0,2,2,1,1
260,blueberry,0,2,2,1,1
261,blueberry,0,2,2,1,1
262,blueberry,0,2,2,1,1
263,blueberry,0,2,2,1,1
264,blueberry,0,2,2,1,1
265,blueberry,0,2,2,1,1
266,blueberry,0,2,2,1,1
267,blueberry,0,2,2,1,1
268,blueberry,0,2,2,1,1
269,blueberry,0,2,2,1,1
270,blueberry,0,2,2,1,1
271,blueberry,0,2,2,1,1
272,blueberry,0,2,2,1,1
273,blueberry,0,2,2,1,1
274,blueberry,0,2,2,1,1
275,blueberry,0,2,2,1,1
276,blueberry,0,2,2,1,1
277,blueberry,0,2,2,1,1
278,blueberry,0,2,2,1,1
279,blueberry,0,2,2,1,1
280,blueberry,0,2,2,1,1
281,blueberry,0,2,2,1,1
282,blueberry,0,2,2,1,1
283,blueberry,0,2,2,1,1
284,blueberry,0,2,2,1,1
285,blueberry,0,2,2,1,1
286,blueberry,0,2,2,1,1
287,blueberry,0,2,2,1,1
288,blueberry,0,2,2,1,1
289,blueberry,0,2,2,1,1
290,blueberry,0,2,2,1,1
291,blueberry,0,2,2,1,1
292,blueberry,0,2,2,1,1
293,blueberry,0,2,2,1,1
294,blueberry,0,2,2,1,1
295,blueberry,0,2,2,1,1
296,blueberry,0,2,2,1,1
297,blueberry,0,2,2,1,1
298,blueberry,0,2,2,1,1
299,blueberry,0,2,2,1,1
300,blueberry,0,2,2,1,1
